id,name,difficulty,mainmuscle,equipment,target,secondarymuscles,instruction
e4126bbc-10d1-4a46-ae66-4f001da3aef0,plank,intermediate,abdominals,body only,abs,trapezius,"Steps :

1.) Start by kneeling on all fours and aligning both hands right below your shoulders keep your knees beneath your hips.

2.) Extend both of your feet out behind you and squeeze on your core muscles, making sure that your body is aligned straight

3.) Hold this position for about 30 seconds to a minute.

4.) Release, return back to the starting position and repeat for as many times as you would like to perform this exercise."
44ed352e-a841-4228-9121-9cdba6336443,crunch,beginner,abdominals,body only,abs,abdominals,"The crunch exercise is the most common abdominal exercise and often is improperly performed.

Steps :

1.) Start by placing your hands across your chest or on either side of your head as this will be your starting position.

2.) Then slowly raise your upper body (head, shoulders and chest) up off of the floor and towards your knees, squeezing and crunching your abs.

3) Hold this position for a count, squeezing your abs, then return back to the starting position.

Tips :

1.) Make sure to keep your hips straight and your lower back against the floor during this exercise."
34fe8df2-55a2-4a43-a780-d9c557919ec4,leg raise,advanced,abdominals,body only,abs,abdominals,"The leg raise exercise helps work and strengthen your lower abs which are typically a hard muscle to target.

Steps :

1.) Start off either lying on a flat bench or lying down on the floor, keeping your hands under your hips to support your back as this will be the starting position of the exercise.

2.) Once in position, keep your feet together and your toes pointed out, slowly raise your legs up towards the ceiling squeezing your ab muscles in the process.

3.) Continue on the motion upward while squeezing your lower abs then once you reach the top position, pause and hold for a count, then slowly return back to the starting position in a controlled manner.

Tips :

1.) You don't have to have a large range of motion for this exercise for it to be effective."
8e8e1f3b-66bc-4085-a367-3cc9130a1161,abdominal pendulum,advanced,abdominals,body only,abs,abdominals,"Steps :

1.) Begin by laying with your back flat on the floor, your legs together extended out in front of you and your hands placed out to your sides so that you are in a ""T"" position.

2.) Slowly lift your legs up and over your body so that you are creating a right angle to the floor, then twisting only at your hips, lower your feet slowly to the floor to your right without losing any control.

3.) As soon as you feel a stretch in your obliques, return to the starting position and repeat on the opposite side.

4.) Repeat for as many reps and sets as desired."
f6e08208-58ce-4dc1-9e68-b9a496bc7da2,weight plate russian twist,advanced,abdominals,weight plate,abs,lower back,"Steps :

1.) Start off with your back on the floor and your feet under a bench or have a partner holding them.

2.) Bend your knees and lift your upper body off of the floor as if you were in a final sit up position, then stick your arms out in front of your chest with your hands together.

3.) When you are in place, twist your torso to the right while exhaling, holding on and squeezing your abs for a few seconds as you reach the side.

4.) Move back to the starting position as you exhale, then back in the starting position, repeat the exercise in the alternate direction.

5.) Repeat this exercise for as many repetitions as needed."
3ab126c2-c1a0-4132-81b6-4aedad33eee7,air bike,advanced,abdominals,body only,abs,obliques,"Steps :

1.) Start off lying flat as if you were going to perform a sit up putting your hands behind your your head and lifting your shoulders into a crunch position.

2.) Bring your knees up so that they are perpendicular with the floor and your lower legs are parallel with the ground as this will be your starting position.

3.) Slowly go through a cycle pedal motion kicking forward with your right leg and bringing in the knee of the left leg.

4.) Next bring your right elbow close to your left knee by crunching to the side.

5.) Return back to the starting position as you breathe in then crunch to the opposite side as you cycle your legs and bring your left elbow close to your right knee.

6.) Repeat with each side for as many reps and sets as desired.

Tips :

1.) Reduce the speed of the exercise for more intensity and better results."
143a1852-1934-49c3-aa5f-23d231994179,knee raises,intermediate,abdominals,body only,abs,abdominals,"Steps :

1.) Start by laying with your back flat on the floor, arms at your side and feet extended out straight in front of you.

2.) Slowly lift both knees up off of the floor and pull them towards your chest.

3.) Slowly pull your knees up as high as you can towards your chest until you feel a stretch in your abs
4.) Repeat for as many reps and sets as desired."
e9c63c4d-1cef-4664-a3a9-8e13016f1b7c,sit up,intermediate,abdominals,body only,abs,abdominals,"Steps :

1.) To begin this exercise; start off lying with your back flat on the floor.

2.) You can place your feet flat, keep an object above them, or have a partner hold them.

3.) Bend your legs at the knees and place your hands behind your head.

4.) Then lift your upper body towards your knees, contracting your abdominals on the way up.

5.) When reaching the final position, hold and squeeze for a few seconds then return back to the starting position.

6.) Repeat this exercise for as many repetitions as needed."
e4a0eac0-082c-4f30-ba63-ef9ee760807e,scissor kick,advanced,abdominals,body only,abs,lower back,"Steps :

1.) Start off with your back flat on the floor and hands extended to your side.

2.) Bend your knees slightly and lift your legs up off of the ground.

3.) Then lift your left leg above your right leg as your right leg moves down close towards the floor.

4.) Alternate this motion by lifting your right leg higher above your left leg while your left leg moves closer towards the ground keeping your back still on the floor the entire exercise.

5.) Repeat this exercise for as many repetitions as needed."
7f8bf22b-3555-4891-b21c-b754ca33936d,side plank,intermediate,abdominals,body only,abs,lower back,"Steps :

1.) Start by lying on your right side with legs extended out, one foot on top of the other and placing your right elbow right underneath your right shoulder.

2.) Elevate your hips and draw inward towards your spine, lifting the body onto the forearm and hold for 30 seconds to a minute then lower back to the floor.

3.) Repeat for as many reps and sets as desired then repeat with the opposite side."
50a0d05e-590f-436a-9e5a-d7b7f06802a1,pull up,advanced,trapezius,pullup bar,upper back,deltoids,"Steps :

1.) Grab the bar with an overhand grip

2.) Lift your self up till your chin is above the bar.

3.) Pause for a few seconds.

4.) Lower yourself down slowly.

5.) Repeat for the desired amount of reps.

Tips :

1.) For an increased workout, wear ankle weights or a weighted vest."
f71900e1-12cc-49b6-8826-9c1cec6e5663,barbell deadlift,advanced,lower back,barbell,lower back,glutes,"The barbell deadlift is a classic bodybuilding exercise meant for putting on mass and building overall strength throughout the entire body.

Steps :

1.) Start by standing in front of a barbell with your feet shoulder-width apart.

2.) Pick up the barbell while keeping your arms extended straight down.

3.) Stand up straight with the barbell in your hands, and refrain from moving your arms.

4.) Bend back down at the knees with barbell.

5.) Repeat for the desired amount of reps."
89895d4a-fcef-40f4-b2c2-6e7999e335c1,barbell row,intermediate,trapezius,barbell,upper back,biceps,"Steps :

1.) Start by taking a barbell and placing it in a corner or in a place where it can be stabilized, then place a weight at the one end that you will be grabbing.

2.) Slowly bend forward so that you are as close to parallel to the ground as possible, keeping your knees bent and feet planted firmly on the floor.

3.) Grab the bar with one hand on top of the other, just underneath the plates then pull the bar straight up towards your chest, keeping your elbows in, until the weight touches your lower chest and squeeze your back.

4.) Hold for a count then return back to the starting position making sure that the weights do not touch the floor.

5.) Repeat for as many reps and sets as desired."
1ffc1fff-e08c-4b25-9bb6-a461fdeb50c8,barbell bent over rows,intermediate,trapezius,barbell,upper back,biceps,"Steps :

1.) To begin this exercise, stand in front of a barbell with your feet shoulder-width apart and bend over until your back is parallel with the floor.

2.) Grab the bar with a shoulder width grip then lift the bar up off of the ground and this will be your starting position.

3.) Take the bar and raise it up towards you chest using a controlled motion and continue until the bar is almost touching your lower chest.

4.) Hold this position for a few seconds, squeezing your back muscles and then lower the bar back to the starting position.

Tips :

1.) While performing this exercise keep your chin tucked and eyes looking down at the floor and your back straight."
9b233836-7243-419f-975f-84430a828fbf,back extension,beginner,lower back,body only,lower back,lower back,"Steps :

1.) To begin the exercise; position your stomach flat on the floor with your arms extended down by your side.

2.) With your body flat, extend your lower back and lift your chest up off of the ground.

3.) In this process do not use your arms to push up, use your back to extend your spine up.

4.) Repeat this exercise for as many repetitions as needed."
fa158a31-ca94-4799-9de7-25ad08e71938,cable lat pulldown,intermediate,trapezius,machine - Strength,upper back,deltoids,"Steps :

1.) To begin this exercise; start off sitting on a bench and grab onto overhead cables that are attached to a pulley machine.

2.) Grab each cable with the opposite hands so that you arms are criss-crossed.

3.) Then pull back and down with your lower back as if you were doing a pulldown so that each hand is on the correct side.

4.) Hold onto this position for a few seconds squeezing your lower back tightly.

5.) Return back to the starting position.

6.) Repeat this exercise for as many repetitions as needed."
